Circuit #,Type,From Equip,To Equip,Primary QTY,Primary CND,Primary SIZE,Primary TYPE,Secondary QTY,Secondary CND,Secondary SIZE,Secondary TYPE,TOTAL CABLE LENGTH (FT),CIRCUIT LENGTH (FT),Supplier,Part Number,NOTES
Net-(C5-Pad1),mv,C5,R10,3,1,1000 KCMIL,35kV,0,0,,35kV,144.80,48.27,Prysmian,,
Net-(U4-Vc),mv,R10,"C4, U4",3,1,1000 KCMIL,35kV,0,0,,35kV,144.80,48.27,Prysmian,,
/PC-CLOCK-OUT,,J1,"R5, R6",3,1,1000 KCMIL,35kV,0,0,,35kV,,,Prysmian,,
/PC-DATA-IN-CAT,,J1,"D11, Q1, R11",3,1,1000 KCMIL,35kV,0,0,,35kV,,,Prysmian,,
/PC-DATA-OUT,,J1,"R3, R4",3,1,1000 KCMIL,35kV,0,0,,35kV,,,Prysmian,,
/VPP_ON,,J1,"R1, R2",3,1,1000 KCMIL,35kV,0,0,,35kV,,,Prysmian,,
GND,,J1,"C1, C2, C3, C4, C5, C6, C7, D12, D3, D5, D7, D8, D9, P1, P2, P3, Q1, R15, R17, R2, R4, R6, U1, U2, U3, U4, U5, U6",3,1,1000 KCMIL,35kV,0,0,,35kV,,,Prysmian,,
GND,,P2,"C1, C2, C3, C4, C5, C6, C7, D12, D3, D5, D7, D8, D9, J1, P1, P3, Q1, R15, R17, R2, R4, R6, U1, U2, U3, U4, U5, U6",3,1,1000 KCMIL,35kV,0,0,,35kV,,,Prysmian,,
Net-(D1-A),,D1,P1,3,1,1000 KCMIL,35kV,0,0,,35kV,,,Prysmian,,
Net-(D1-K),,D1,"C2, U3",3,1,1000 KCMIL,35kV,0,0,,35kV,,,Prysmian,,
GND,,C1,"C2, C3, C4, C5, C6, C7, D12, D3, D5, D7, D8, D9, J1, P1, P2, P3, Q1, R15, R17, R2, R4, R6, U1, U2, U3, U4, U5, U6",3,1,1000 KCMIL,35kV,0,0,,35kV,,,Prysmian,,
GND,mv,C1,"C2, C3, C4, C5, C6, C7, D12, D3, D5, D7, D8, D9, J1, P1, P2, P3, Q1, R15, R17, R2, R4, R6, U1, U2, U3, U4, U5, U6",3,1,1000 KCMIL,35kV,0,0,,35kV,251.01,83.67,Prysmian,,
VCC,mv,C1,"D2, D4, D6, JP1, L1, Q3, R14, R20, U2, U3, U4",3,1,1000 KCMIL,35kV,0,0,,35kV,251.01,83.67,Prysmian,,
